equipe,P_titre,P_finale,P_demi,P_quart,P_8e,P_qualifie,buts_totaux_attendus,matchs_joues_attendus
Argentina,19.1,28.1,40.4,54.2,69.0,96.0,9.51,5.88
Spain,13.3,22.1,33.8,46.7,66.0,97.2,10.21,5.66
Brazil,9.0,16.0,28.2,44.0,63.0,94.7,9.3,5.46
England,8.3,15.1,26.9,45.0,67.8,94.9,8.43,5.5
Morocco,6.2,12.1,22.5,37.5,56.4,91.1,6.71,5.2
Portugal,5.5,10.9,20.1,37.2,61.0,85.4,7.32,5.15
Colombia,5.3,10.7,19.7,36.4,60.2,84.9,7.03,5.12
Japan,5.0,10.1,19.4,33.2,49.4,89.6,7.47,5.02
France,4.6,9.5,18.6,33.5,57.7,87.2,7.26,5.06
Germany,2.7,6.4,14.4,28.6,54.8,91.4,7.88,4.96
Uruguay,2.3,5.6,11.9,22.8,40.6,86.2,5.13,4.67
Netherlands,2.2,5.2,11.8,23.5,39.8,83.6,6.79,4.64
Belgium,2.1,5.2,11.6,26.8,52.7,85.4,6.81,4.82
Ecuador,2.0,5.0,11.5,23.7,48.1,85.9,4.9,4.74
Australia,1.6,4.1,9.4,22.3,46.1,79.4,5.67,4.61
Mexico,1.3,3.5,9.5,23.1,53.0,91.8,7.05,4.81
Iran,1.2,3.4,8.3,20.9,45.8,80.5,5.7,4.59
Senegal,1.1,3.0,7.7,17.9,39.4,73.5,4.98,4.41
Switzerland,1.1,3.1,8.3,21.5,52.4,91.2,7.54,4.76
Norway,1.0,2.8,7.2,17.3,38.7,73.3,5.62,4.39
Croatia,0.9,2.7,7.3,17.6,40.8,81.8,5.61,4.5
Canada,0.8,2.6,7.4,20.6,52.7,95.3,8.19,4.79
Algeria,0.7,2.1,5.5,13.0,27.7,69.7,4.9,4.18
South Korea,0.6,2.0,6.0,16.3,41.9,79.2,5.71,4.45
United States,0.3,1.2,3.9,12.9,35.5,77.3,5.77,4.31
Ivory Coast,0.3,1.2,3.8,11.2,30.8,73.1,4.1,4.2
Austria,0.3,1.1,3.2,8.9,21.3,60.5,4.03,3.95
Paraguay,0.2,0.9,2.8,9.0,26.0,59.7,3.63,3.98
Uzbekistan,0.2,0.9,2.8,8.6,24.1,52.6,3.04,3.89
Egypt,0.2,0.7,2.6,8.8,26.5,62.2,3.58,4.01
Turkey,0.1,0.6,2.1,7.5,23.1,55.8,4.35,3.89
Tunisia,0.1,0.5,1.8,6.0,16.3,52.9,3.27,3.77
DR Congo,0.1,0.4,1.5,5.2,17.2,43.4,2.45,3.68
Scotland,0.1,0.4,1.5,5.7,16.1,52.4,3.67,3.76
Sweden,0.0,0.2,0.9,3.6,11.2,42.5,3.58,3.58
Jordan,0.0,0.2,0.8,3.2,10.3,39.5,3.21,3.54
Czech Republic,0.0,0.2,1.0,4.5,18.3,53.0,3.8,3.77
Iraq,0.0,0.1,0.7,2.8,11.2,36.3,2.52,3.51
Panama,0.0,0.1,0.7,3.3,13.9,48.6,3.44,3.67
Saudi Arabia,0.0,0.1,0.6,2.9,10.4,45.6,2.6,3.6
New Zealand,0.0,0.1,0.6,3.0,12.9,41.8,2.96,3.58
South Africa,0.0,0.1,0.5,2.8,13.1,43.7,3.0,3.6
Ghana,0.0,0.1,0.4,2.0,9.6,39.5,2.76,3.52
Haiti,0.0,0.0,0.2,1.3,5.4,27.0,2.84,3.34
Qatar,0.0,0.0,0.1,1.2,8.1,40.1,3.47,3.49
Cape Verde,0.0,0.0,0.1,0.9,4.7,28.7,2.06,3.34
Bosnia and Herzegovina,0.0,0.0,0.1,0.8,6.1,34.0,2.82,3.41
Curaçao,0.0,0.0,0.0,0.4,3.1,20.4,1.99,3.24
